index,timestamp,respondent,respondent-name,type,type-name,load_mw,value-units,hour,dayofweek,month,year
45,2023-01-01 11:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,74428,megawatthours,11,6,1,2023
46,2023-01-01 11:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,75073,megawatthours,11,6,1,2023
47,2023-01-01 11:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,3052,megawatthours,11,6,1,2023
48,2023-01-01 12:00:00,PJM,"PJM Interconnection, LLC",D,Demand,72584,megawatthours,12,6,1,2023
49,2023-01-01 12:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,76799,megawatthours,12,6,1,2023
50,2023-01-01 12:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,75501,megawatthours,12,6,1,2023
51,2023-01-01 12:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,2917,megawatthours,12,6,1,2023
52,2023-01-01 13:00:00,PJM,"PJM Interconnection, LLC",D,Demand,74077,megawatthours,13,6,1,2023
53,2023-01-01 13:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,78723,megawatthours,13,6,1,2023
54,2023-01-01 13:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,76744,megawatthours,13,6,1,2023
55,2023-01-01 13:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,2667,megawatthours,13,6,1,2023
56,2023-01-01 14:00:00,PJM,"PJM Interconnection, LLC",D,Demand,75206,megawatthours,14,6,1,2023
57,2023-01-01 14:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,79640,megawatthours,14,6,1,2023
58,2023-01-01 14:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,77892,megawatthours,14,6,1,2023
59,2023-01-01 14:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,2686,megawatthours,14,6,1,2023
60,2023-01-01 15:00:00,PJM,"PJM Interconnection, LLC",D,Demand,75503,megawatthours,15,6,1,2023
61,2023-01-01 15:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,79521,megawatthours,15,6,1,2023
62,2023-01-01 15:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,77959,megawatthours,15,6,1,2023
63,2023-01-01 15:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,2456,megawatthours,15,6,1,2023
